"","villages","maize_yield","mean_elevation","malaria_cases_per_10000"
"1","Gulim","High",2050,291
"2","Denbun","High",2050,43
"3","Wadra","High",2050,133
"4","Zalimashebekuma","High",2050,219
"5","Adel Agata","High",2050,176
"6","Fetamsantom","High",2050,301
"7","Ziyewshewun","High",2050,466
"8","Fzelsertekez","High",2050,246
"9","Woinmaambaye","Medium",2200,59
"10","Wangedam","Medium",2200,83
"11","Tiatia","Medium",2200,164
"12","Bagunakebesi","Medium",2200,101
"13","Alefabasi","Medium",2050,70
"14","Wehindurbete","Low",2200,4
"15","Arbisi","Low",2200,6
"16","Wendgi","Low",2200,40
"17","Shakawa","Low",2200,38
"18","Agnifereda","Low",2450,3
"19","Jibgedel","Low",2450,15
